,Calories,CumulativeElevationGain,Date,Distance,Duration,Elevation,ExerciseLocalId,ExerciseServerId,HorizontalAccuracy,Interpolated,Latitude,Longitude,Pace,Paused,Speed,Steps,VerticalAccuracy,EntityStatus,LastOperationUuid,ServerId,TimeCreated,TimeUpdated,Uuid,Id,convertedDate
27,0,0.0,637392290040000000,0.06928,34000,50.09049,4,35218252741,0.4,0,52.52989,-9.427112,327.86887,0,10.98,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,fc35d6bb-98bd-44b5-9823-5f1576683c6b,28,2020-10-25 13:23:24.000000000
28,0,0.0,637392290050000000,0.07234,35000,50.038277,4,35218252741,0.4,0,52.529895999999994,-9.427083,326.7974,0,10.9872,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,915d7321-9aaa-4b41-86c6-28cc6d936445,29,2020-10-25 13:23:25.000000000
29,0,0.0,637392290060000000,0.07541,36000,49.948159999999994,4,35218252741,0.4,0,52.529895999999994,-9.4270525,325.7329,0,11.0088,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,08bba3b5-085c-4fd1-96c7-589f7d7ecb0e,30,2020-10-25 13:23:26.000000000
30,0,0.0,637392290070000000,0.07848,37000,49.905440000000006,4,35218252741,0.4,0,52.529880000000006,-9.427014,325.7329,0,11.015999999999998,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,9862b432-b9c6-4cd2-a389-415a6227f7d7,31,2020-10-25 13:23:27.000000000
31,0,0.0,637392290080000000,0.08156000000000001,38000,49.865759999999995,4,35218252741,0.4,0,52.529858,-9.426977,324.67532,0,11.0376,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,0b2da23b-b4c6-40d0-84b4-6ef95be1fb76,32,2020-10-25 13:23:28.000000000
32,0,0.0,637392290090000000,0.08463,39000,49.869717,4,35218252741,0.3,0,52.529835,-9.426935,325.7329,0,11.052,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,866eda5d-fd51-4504-81ac-528f06052458,33,2020-10-25 13:23:29.000000000
33,0,0.0,637392290100000000,0.0878,40000,49.91406,4,35218252741,0.3,0,52.529816000000004,-9.4269,315.45743,0,11.1312,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,50037cf7-95dd-4eeb-98bd-3482262e9d45,34,2020-10-25 13:23:30.000000000
34,0,0.0,637392290110000000,0.09097999999999999,41000,49.95517,4,35218252741,0.3,0,52.529804000000006,-9.426874,314.46542,0,11.2104,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,36759850-d043-4d53-8cc1-a4bb4be03ace,35,2020-10-25 13:23:31.000000000
35,0,0.0,637392290120000000,0.09416000000000001,42000,49.91225,4,35218252741,0.3,0,52.529790000000006,-9.426844000000001,314.46542,0,11.2896,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,f84eb7a9-f62f-46ed-b130-b11552982639,36,2020-10-25 13:23:32.000000000
36,0,0.0,637392290130000000,0.09733,43000,49.952946000000004,4,35218252741,0.3,0,52.529762,-9.426781,315.45743,0,11.3544,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,ca150922-2e2b-4f1c-810e-aba968d3d904,37,2020-10-25 13:23:33.000000000
37,0,0.0,637392290140000000,0.10052,44000,50.071296999999994,4,35218252741,0.3,0,52.529747,-9.426731,313.4796,0,11.4408,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,412ead25-07c2-4e47-be58-0b8dad808ebb,38,2020-10-25 13:23:34.000000000
38,0,0.0,637392290150000000,0.10374000000000001,45000,50.100243,4,35218252741,0.3,0,52.529736,-9.426705,310.55902000000003,0,11.4768,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,27dd30d1-2506-4947-9d74-a3df83e74c83,39,2020-10-25 13:23:35.000000000
39,0,0.0,637392290160000000,0.10695999999999999,46000,50.126373,4,35218252741,0.3,0,52.529724,-9.4266815,310.55902000000003,0,11.5056,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,b971cb33-b4e2-49e6-b324-43619a46fb39,40,2020-10-25 13:23:36.000000000
40,0,0.0,637392290170000000,0.11019000000000001,47000,50.149822,4,35218252741,0.3,0,52.529713,-9.426647,309.59753,0,11.5416,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,7e5024fb-1ca3-481d-9f23-102adc31c244,41,2020-10-25 13:23:37.000000000
41,0,0.0,637392290180000000,0.11341,48000,50.13047,4,35218252741,0.3,0,52.529697,-9.426611999999999,310.55902000000003,0,11.5776,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,7208a548-d2f1-464c-ba08-30b335f6d3c8,42,2020-10-25 13:23:38.000000000
42,0,0.0,637392290190000000,0.11663,49000,50.111576,4,35218252741,0.3,0,52.529686,-9.42658,310.55902000000003,0,11.5992,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,f7c34bea-bcf5-4c05-a4be-6bdb19616bef,43,2020-10-25 13:23:39.000000000
43,0,0.0,637392290200000000,0.11987,50000,49.932293,4,35218252741,0.3,0,52.529675,-9.42655,308.64197,0,11.6136,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,227eb544-745a-41de-8f33-6863a228596c,44,2020-10-25 13:23:40.000000000
44,0,0.0,637392290210000000,0.12309,51000,49.966255,4,35218252741,0.3,0,52.52966,-9.426511999999999,310.55902000000003,0,11.6136,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,882a5f59-4072-40f1-962f-51ead52b10da,45,2020-10-25 13:23:41.000000000
45,0,0.0,637392290220000000,0.12633,52000,49.837067,4,35218252741,0.3,0,52.529633,-9.426442,308.64197,0,11.6208,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,07fa7d33-5d15-4d9e-93fd-013d3ae84c30,46,2020-10-25 13:23:42.000000000
46,0,0.0,637392290230000000,0.12957,53000,49.717037,4,35218252741,0.3,0,52.52960600000001,-9.426373,308.64197,0,11.6352,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,0ef4fc40-19cc-4c86-9655-e37e0540d4b5,47,2020-10-25 13:23:43.000000000
47,0,0.0,637392290240000000,0.13280999999999998,54000,49.76701,4,35218252741,0.3,0,52.529587,-9.426339,308.64197,0,11.6496,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,7eff87f1-d6eb-448e-9b63-3fe09d2b3a21,48,2020-10-25 13:23:44.000000000
48,0,0.0,637392290250000000,0.13605,55000,49.613346,4,35218252741,0.3,0,52.529575,-9.426314,308.64197,0,11.6496,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,669c1d07-5e76-4f2d-ae17-125e40d7f448,49,2020-10-25 13:23:45.000000000
49,0,0.0,637392290260000000,0.13931,56000,49.672478000000005,4,35218252741,0.3,0,52.529568000000005,-9.426292,306.74847,0,11.6784,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,da10c82e-fc34-490e-b1d8-2eefd723fcf5,50,2020-10-25 13:23:46.000000000
50,0,0.0,637392290270000000,0.14257999999999998,57000,49.76905,4,35218252741,0.3,0,52.52955600000001,-9.4262705,305.8104,0,11.7,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,53a11d00-7d82-4a9f-b566-07be2f2c3609,51,2020-10-25 13:23:47.000000000
51,0,0.0,637392290280000000,0.14583,58000,49.698895,4,35218252741,0.3,0,52.529545,-9.426245,307.69232,0,11.7072,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,9f672412-b251-4065-99b4-ce500847197d,52,2020-10-25 13:23:48.000000000
52,0,0.0,637392290290000000,0.14909,59000,49.795162,4,35218252741,0.3,0,52.529526000000004,-9.426203,306.74847,0,11.7216,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,04e0d879-d7dd-4645-8d04-41e551c24e88,53,2020-10-25 13:23:49.000000000
53,0,0.0,637392290300000000,0.15235,60000,49.724503000000006,4,35218252741,0.3,0,52.529469999999996,-9.4260845,306.74847,0,11.735999999999999,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,b7527264-3442-4588-80ae-7164a38ff192,54,2020-10-25 13:23:50.000000000
54,0,0.0,637392290310000000,0.15562,61000,49.65917,4,35218252741,0.3,0,52.529438,-9.426044000000001,305.8104,0,11.7432,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,58b4b0c8-6483-4e99-a797-a00cda4b5b7e,55,2020-10-25 13:23:51.000000000
55,0,0.0,637392290320000000,0.15887,62000,49.800216999999996,4,35218252741,0.3,0,52.52941,-9.426043,307.69232,0,11.7288,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,dace9c17-2098-40f5-a58e-a62a25a0a91f,56,2020-10-25 13:23:52.000000000
56,0,0.0,637392290330000000,0.16214,63000,49.52985,4,35218252741,0.4,0,52.529385,-9.426067,305.8104,0,11.7432,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,c0134945-5c4d-4b90-b42a-e979c98b3d14,57,2020-10-25 13:23:53.000000000
57,0,0.0,637392290340000000,0.16541,64000,49.278778,4,35218252741,0.4,0,52.529357999999995,-9.426095,305.8104,0,11.7504,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,58a38b1d-2416-43ec-a925-ba1a3239c0c4,58,2020-10-25 13:23:54.000000000
58,0,0.0,637392290350000000,0.16868,65000,49.408840000000005,4,35218252741,0.4,0,52.52933,-9.426128,305.8104,0,11.7576,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,1372dd37-8c81-4597-bc5b-cf3f5b829530,59,2020-10-25 13:23:55.000000000
59,0,0.0,637392290360000000,0.17196,66000,49.330906,4,35218252741,0.4,0,52.529309999999995,-9.426161,304.87805,0,11.7648,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,0a5a3f6b-325f-4906-9154-ed371c386eff,60,2020-10-25 13:23:56.000000000
60,0,0.0,637392290370000000,0.17524,67000,49.420982,4,35218252741,0.4,0,52.52928000000001,-9.426189,304.87805,0,11.7864,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,8fca7c9e-c806-4c7c-993b-2696cbdcbd53,61,2020-10-25 13:23:57.000000000
61,0,0.0,637392290380000000,0.17853,68000,49.224957,4,35218252741,0.4,0,52.529255000000006,-9.426217,303.95135,0,11.8008,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,38b890cc-d64e-4054-ab8d-f18f9d37e398,62,2020-10-25 13:23:58.000000000
62,0,0.0,637392290390000000,0.18183,69000,49.044094,4,35218252741,0.4,0,52.529230000000005,-9.426248,303.0303,0,11.8224,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,653ccd4e-dbbc-4e04-998d-0468a24b083e,63,2020-10-25 13:23:59.000000000
63,0,0.0,637392290400000000,0.18513,70000,49.15963,4,35218252741,0.4,0,52.5292,-9.426278,303.0303,0,11.844000000000001,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,4a0fb647-6650-45a0-8473-e3c15521f749,64,2020-10-25 13:24:00.000000000
64,0,0.0,637392290410000000,0.18843,71000,48.947936999999996,4,35218252741,0.4,0,52.529175,-9.426308,303.0303,0,11.8584,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,975b0820-6791-4377-90fc-5a03ec6e5dcd,65,2020-10-25 13:24:01.000000000
65,0,0.0,637392290420000000,0.19172999999999998,72000,48.954315,4,35218252741,0.4,0,52.52915,-9.426338000000001,303.0303,0,11.8728,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,08e64032-492e-4811-bdaa-849583cefecd,66,2020-10-25 13:24:02.000000000
66,0,0.0,637392290430000000,0.19504000000000002,73000,49.003242,4,35218252741,0.4,0,52.52911999999999,-9.426369000000001,302.1148,0,11.8872,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,b3bf3464-04dd-4046-addf-c9124cc344a2,67,2020-10-25 13:24:03.000000000
67,0,0.0,637392290440000000,0.19835,74000,48.850184999999996,4,35218252741,0.4,0,52.529090000000004,-9.426399,302.1148,0,11.8944,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,f106f555-eb3f-4474-a99c-1b6b1e5878c3,68,2020-10-25 13:24:04.000000000
68,0,0.0,637392290450000000,0.20169,75000,48.75033,4,35218252741,0.4,0,52.52906,-9.426428,299.40117999999995,0,11.9232,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,749a8c90-0656-48e0-b725-f382d6e9d00d,69,2020-10-25 13:24:05.000000000
69,0,0.0,637392290460000000,0.20503000000000002,76000,48.579777,4,35218252741,0.4,0,52.529030000000006,-9.426457000000001,299.40117999999995,0,11.952,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,37e05ed1-26d6-4743-8d2c-149e7d85c073,70,2020-10-25 13:24:06.000000000
70,0,0.0,637392290470000000,0.20836999999999997,77000,48.30355,4,35218252741,0.4,0,52.529003,-9.426485000000001,299.40117999999995,0,11.9808,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,76c4653b-ac3b-4748-83e7-454634e362b5,71,2020-10-25 13:24:07.000000000
71,0,0.0,637392290480000000,0.21172,78000,48.61329,4,35218252741,0.4,0,52.528980000000004,-9.426511999999999,298.50748,0,12.0096,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,0b3380a3-5990-4fc6-afd8-42bb3676a7bd,72,2020-10-25 13:24:08.000000000
72,0,0.0,637392290490000000,0.21508000000000002,79000,48.54363,4,35218252741,0.4,0,52.52896,-9.426546,297.61905,0,12.0456,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,b40cc723-a9ea-4f39-a7d9-f4536851a626,73,2020-10-25 13:24:09.000000000
73,0,0.0,637392290500000000,0.21844,80000,48.964203000000005,4,35218252741,0.4,0,52.52896,-9.426587,297.61905,0,12.06,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,83e1d9fb-09e6-457d-8b81-39733c726716,74,2020-10-25 13:24:10.000000000
